minute,anomalias_por_minuto,fallas_tcp_bin,anomalias_log1p,anomalia_lag_1,tcp_lag_1,anomalia_lag_2,tcp_lag_2,anomalia_lag_3,tcp_lag_3,anomalia_lag_5,tcp_lag_5,anomalia_lag_10,tcp_lag_10,anomalia_lag_15,tcp_lag_15,anomalia_lag_30,tcp_lag_30,anomalia_lag_60,tcp_lag_60,anomalia_roll_3,anomalia_roll_5,anomalia_roll_10,anomalia_roll_20,tcp_roll_3,tcp_roll_5,anomalia_diff,tcp_diff
2025-11-29 20:44:00,225,0,5.420534999272286,6.091309882077698,1.0,6.184148890937483,0.0,4.709530201312334,0.0,4.61512051684126,0.0,6.272877006546167,0.0,4.804021044733257,5.0,5.2832037287379885,8.0,7.499423290592229,0.0,5.89866459076249,5.590920011699004,5.585484149973234,5.335112498137979,0.3333333333333333,0.2,-0.6707748828054116,-1.0
2025-11-29 20:45:00,25,0,3.258096538021482,5.420534999272286,0.0,6.091309882077698,1.0,6.184148890937483,0.0,5.54907608489522,0.0,6.042632833682381,0.0,5.66988092298052,5.0,6.184148890937483,3.0,6.517671272912275,1.0,4.9233138064571556,5.132724102324256,5.307030520407144,5.1888098804921805,0.3333333333333333,0.2,-2.162438461250804,0.0
2025-11-29 20:59:00,9,0,2.302585092994046,3.258096538021482,0.0,5.420534999272286,0.0,6.091309882077698,1.0,4.709530201312334,0.0,6.272877006546167,0.0,6.091309882077698,13.0,6.184148890937483,5.0,6.8690144506657065,1.0,3.660405543429271,4.6513350806605995,4.910001329051932,5.055102448020853,0.0,0.2,-0.9555114450274362,0.0
2025-11-29 23:16:00,9,2,2.302585092994046,2.302585092994046,0.0,3.258096538021482,0.0,5.420534999272286,0.0,6.184148890937483,0.0,5.54907608489522,1.0,4.406719247264253,0.0,7.13966033596492,7.0,6.993932975223189,0.0,2.621088908003191,3.875022321071912,4.585352229861814,4.892777898425795,0.6666666666666666,0.6,0.0,2.0
2025-11-29 23:17:00,16,2,2.833213344056216,2.302585092994046,2.0,2.302585092994046,0.0,3.258096538021482,0.0,6.091309882077698,1.0,5.420534999272286,0.0,1.6094379124341003,0.0,7.9966538754626075,5.0,5.783825182329737,1.0,2.4794611766814363,3.2234030134676153,4.326620064340206,4.770278379191707,1.3333333333333333,0.8,0.5306282510621703,0.0
2025-11-29 23:18:00,361,3,5.8916442118257715,2.833213344056216,2.0,2.302585092994046,2.0,2.302585092994046,0.0,5.420534999272286,0.0,4.61512051684126,0.0,6.272877006546167,0.0,7.940939762327791,7.0,5.420534999272286,1.0,3.675814216292011,3.3176248559783117,4.454272433838658,4.8246595375463315,2.3333333333333335,1.4,3.0584308677695553,1.0
2025-11-29 23:19:00,361,2,5.8916442118257715,5.8916442118257715,3.0,2.833213344056216,2.0,2.302585092994046,2.0,3.258096538021482,0.0,5.54907608489522,0.0,6.042632833682381,0.0,7.824445930877619,8.0,6.091309882077698,0.0,4.872167255902586,3.84433439073917,4.488529246531714,4.835747701988594,2.3333333333333335,1.8,0.0,-1.0
2025-11-29 23:20:00,361,2,5.8916442118257715,5.8916442118257715,2.0,5.8916442118257715,3.0,2.833213344056216,2.0,2.302585092994046,0.0,4.709530201312334,0.0,6.272877006546167,0.0,7.275864600546533,6.0,5.420534999272286,0.0,5.8916442118257715,4.562146214505515,4.606740647583058,4.825764418475998,2.3333333333333335,2.2,0.0,0.0
2025-11-29 23:21:00,961,1,6.8690144506657065,5.8916442118257715,2.0,5.8916442118257715,2.0,5.8916442118257715,3.0,2.302585092994046,2.0,6.184148890937483,0.0,5.54907608489522,1.0,5.993961427306569,3.0,5.135798437050262,0.0,6.217434291439083,5.475432086039848,4.675227203555879,4.948879178646071,1.6666666666666667,2.0,0.977370238839935,-1.0
2025-11-29 23:22:00,870,0,6.769641976852503,6.8690144506657065,1.0,5.8916442118257715,2.0,5.8916442118257715,2.0,2.833213344056216,2.0,6.091309882077698,1.0,5.420534999272286,0.0,6.091309882077698,0.0,5.2832037287379885,0.0,6.510100213114661,6.262717812599105,4.74306041303336,5.206889381866991,1.0,1.6,-0.09937247381320358,-1.0
2025-11-29 23:23:00,100,2,4.61512051684126,6.769641976852503,0.0,6.8690144506657065,1.0,5.8916442118257715,2.0,5.8916442118257715,3.0,5.420534999272286,0.0,4.61512051684126,0.0,7.5688956634069955,0.0,5.783825182329737,0.0,6.08459231478649,6.007413073602203,4.662518964790257,5.124001557381745,1.0,1.4,-2.1545214600112432,2.0
